layer,Cotas,Cota_MDERa,Dif_MDERaf
Puntos IGN,2.6,2.013,-0.587
Puntos IGN,2.1,1.94007,-0.16
Puntos IGN,2,2.22405,0.224
Puntos IGN,1.7,1.93822,0.238
Puntos IGN,1.3,1.95563,0.656
Puntos IGN,2.2,1.96742,-0.233
Puntos IGN,2.3,1.80821,-0.492
Puntos IGN,2.6,2.52755,-0.072
Puntos IGN,2.8,2.31571,-0.484
Puntos IGN,4.9,2.75797,-2.142
Puntos IGN,3,3.28261,0.283
Puntos IGN,2.4,1.97513,-0.425
Puntos IGN,2,1.99273,-0.007
Puntos IGN,2,2.06934,0.069
Puntos IGN,2.4,1.88569,-0.514
Puntos IGN,2.1,1.99747,-0.103
Puntos IGN,2.6,1.89824,-0.702
Puntos IGN,2.3,2.05391,-0.246
Puntos IGN,2.2,1.83966,-0.36
Puntos IGN,2,2.02287,0.023
Puntos IGN,1.9,1.78813,-0.112
Puntos IGN,1.8,1.74344,-0.057
Puntos IGN,2.3,1.88404,-0.416
Puntos IGN,2.2,2.02167,-0.178
Puntos IGN,2.2,1.78689,-0.413
Puntos IGN,2.1,1.93803,-0.162
Puntos IGN,2.1,2.05232,-0.048
Puntos IGN,2,1.98614,-0.014
Puntos IGN,2.4,2.17169,-0.228
Puntos IGN,2.3,2.16125,-0.139
Puntos IGN,2.4,1.97546,-0.425
Puntos IGN,1.7,2.23617,0.536
Puntos IGN,2.6,2.39054,-0.209
Puntos IGN,2.6,2.31001,-0.29
Puntos IGN,2.4,2.07875,-0.321
Puntos IGN,2.1,1.98397,-0.116
Puntos IGN,3.1,2.05242,-1.048
Puntos IGN,3.8,2.24666,-1.553
Puntos IGN,2.6,2.0908,-0.509
Puntos IGN,2,1.78925,-0.211
Puntos IGN,2.2,2.15625,-0.044
Puntos IGN,2.2,1.78925,-0.411
Puntos IGN,2.6,1.91445,-0.686
Puntos IGN,2.3,2.16372,-0.136
Puntos IGN,2.4,1.92826,-0.472
Puntos IGN,1.9,2.09432,0.194
Puntos IGN,2.1,1.95357,-0.146
Puntos IGN,2.2,2.16711,-0.033
Puntos IGN,2.8,2.93568,0.136
Puntos IGN,2.3,2.26357,-0.036
Puntos IGN,2.3,2.4124,0.112
Puntos IGN,1.9,2.17031,0.27
Puntos IGN,2.2,2.16858,-0.031
