layer,Cota,Cota_MDE_R,Dif_MDE_Ra,UnidadPaisaje
Relevamiento Victoria,6.961,7.1575,0.196,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,7.161,6.84554,-0.315,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,6.59,7.06129,0.471,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,6.175,5.91006,-0.265,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,7.442,6.05083,-1.391,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,6.833,6.19427,-0.639,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,5.784,6.1969,0.413,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,6.035,6.23466,0.2,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,6.33,6.19689,-0.133,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,7.473,5.91945,-1.554,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,7.19,6.27639,-0.914,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,6.955,6.2985,-0.657,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,7.537,6.30187,-1.235,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,6.049,5.96326,-0.086,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,5.804,5.98378,0.18,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,6.674,6.66531,-0.009,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,7.153,6.59465,-0.558,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,6.23,5.72842,-0.502,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,8.517,7.25405,-1.263,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,8.542,7.7396,-0.802,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,8.94,7.90615,-1.034,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,8.68,7.16652,-1.513,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,9.549,7.87596,-1.673,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,9.49,8.68126,-0.809,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,7.707,7.76167,0.055,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,6.945,7.12885,0.184,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,6.655,7.05807,0.403,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,5.552,6.44667,0.895,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,7.192,6.87257,-0.319,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,7.133,6.86318,-0.27,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,6.986,6.42111,-0.565,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,5.583,5.87812,0.295,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,6.366,6.66884,0.303,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,5.534,5.96203,0.428,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,6.123,5.57726,-0.546,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,5.563,5.61078,0.048,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,6.171,5.46182,-0.709,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Puntos IGN,4.9,3.73808,-1.162,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3.4,2.86781,-0.532,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3.5,2.80216,-0.698,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3.4,2.83705,-0.563,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3.5,3.16226,-0.338,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3.5,2.86619,-0.634,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3.3,2.89413,-0.406,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3.7,2.81417,-0.886,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.8,2.93948,0.139,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.5,2.1799,-0.32,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.6,2.58692,-0.013,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.6,2.00631,-0.594,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.3,2.10946,-0.191,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,1.9,2.30269,0.403,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.4,1.91904,-0.481,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.4,2.09083,-0.309,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.6,2.09715,-0.503,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3,2.21399,-0.786,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,1.77,2.39648,0.626,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.8,2.18246,-0.618,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3.3,2.19539,-1.105,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.7,2.19017,-0.51,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.6,2.25532,-0.345,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.7,2.10453,-0.595,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.7,2.14183,-0.558,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.7,2.22341,-0.477,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
